t[s],Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter,Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter
4.14,0.0,0.0,0.0,0.0,0.0,0.0,9.04671260385,-0.346392729402,220.804257973,24.0913668585,37.9044475797,0.0829090023757
4.17,0.0,0.0,0.0,0.0,0.0,0.0,-6.68543386176,-1.25634682693,217.001773987,24.3920032579,22.1023725794,1.94229983173
4.2,0.0,0.0,0.0,0.0,0.0,0.0,-10.3437881901,-1.28476575304,215.401119057,24.3639724007,14.3524913378,1.98769775155
4.23,0.0,0.0,0.0,0.0,0.0,0.0,-9.79682345647,-1.08358294789,215.255417665,24.2839823415,10.6672399046,1.64414019883
4.26,0.0,0.0,0.0,0.0,0.0,0.0,-7.95334838727,-0.859388367623,215.502544832,24.2012327901,8.68325999599,1.27564297696
4.29,0.0,0.0,0.0,0.0,0.0,0.0,-5.96657013132,-0.667401680798,215.526362892,24.0930031775,7.18696531254,0.970813613689
4.32,0.0,0.0,0.0,0.0,0.0,0.0,-4.27756505354,-0.503776040434,215.063329262,23.9255754753,5.6617934111,0.749858733899
4.35,0.0,0.0,0.0,0.0,0.0,0.0,-2.97827715438,-0.349601778187,213.98785063,23.6646313831,3.97092682587,0.609570512808
4.38,0.0,0.0,0.0,0.0,0.0,0.0,-1.98504702695,-0.21145766723,212.169857994,23.2797154372,2.16598187206,0.534646545912
4.41,0.0,0.0,0.0,0.0,0.0,0.0,-1.1357378706,-0.1708682224,209.418398622,22.770006325,0.3775518367,0.499074171154
4.44,0.0,0.0,0.0,0.0,0.0,0.0,-0.240807749403,-0.384225061789,205.69301106,22.2581052297,-1.26839078947,0.46385668298
4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.606357551897,-0.352384544349,205.243492919,22.1724504442,-2.92589706559,0.364245078177
4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.56922392181,-0.0466794797281,208.159560723,22.5119193429,-4.71477301597,0.181082779788
4.53,0.0,0.0,0.0,0.0,0.0,0.0,2.71836580416,0.0569920826098,210.271977216,22.8445102638,-6.53218331914,-0.0349773830571
4.56,0.0,0.0,0.0,0.0,0.0,0.0,3.83893704346,0.130163965919,211.611033202,23.0347162879,-8.44684226501,-0.246990952944
4.59,0.0,0.0,0.0,0.0,0.0,0.0,4.69951674208,0.282238364022,212.379515072,23.0650987117,-10.6115772327,-0.415408342191
4.62,0.0,0.0,0.0,0.0,0.0,0.0,4.83172704593,0.564049585814,212.800257952,22.9484243382,-13.3908430595,-0.477000121241
4.65,0.0,0.0,0.0,0.0,0.0,0.0,3.2573471387,0.996674443257,213.195662951,22.7173167625,-17.5472404536,-0.308000558251
4.68,0.0,0.0,0.0,0.0,0.0,0.0,-1.88402482455,1.54611795858,214.088551301,22.4550681477,-24.4958540479,0.324809663871
4.71,0.0,0.0,0.0,0.0,0.0,0.0,-13.9551840111,1.96836225443,216.240515584,22.4117602877,-36.6183413391,1.85399892522
4.74,0.0,0.0,0.0,0.0,0.0,0.0,-39.0320971481,1.33560140473,220.641475958,23.4371853276,-57.572544224,5.13857030498
4.77,0.0,0.0,0.0,0.0,0.0,0.0,-88.1149141504,-2.75129804223,231.490749978,28.2999892402,-92.5598928843,11.9701882429
4.8,0.0,0.0,0.0,0.0,0.0,0.0,-176.589207126,-5.91049895476,324.956211527,41.1415777136,-151.115789831,24.0701085155
4.83,0.0,0.0,0.0,0.0,0.0,0.0,16.003123701,0.0773473599315,33.2368047038,-0.0625758496528,2.45670475743,-0.0685076257307
